"Site","banded.killifish","black.crappie","bluegill","bowfin","brown.bullhead","burbot","chain.pickerel","emerald.shiner","freshwater.drum","American.gizzard.shad","golden.shiner","green.sunfish","largemouth.bass","logperch","pumpkinseed","rock.bass","round.goby","smallmouth.bass","spottail.shiner","walleye","white.perch","white.sucker","yellow.bullhead","yellow.perch","satinfin.shiner","bluntnose.minnow","creek.chubsucker","Lepomis.sp."
"Bushnell Point",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,2,0,0,0,5,0,0,0,1
"Bushnell Point",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,47,1,0,0,0,0,0,2,0,0,0,5
"Chapman Park",0,0,1,0,0,0,0,0,0,0,0,0,4,0,18,4,1,0,0,1,2,0,0,7,0,0,0,1
"Chapman Park",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,19,4,0,0,0,0,0,6,0,0,0,10
"South Bay Sailboat Marina",0,10,3,0,0,0,0,0,0,2,0,0,2,0,43,1,0,24,0,2,6,0,0,113,1,0,0,0
"South Bay Sailboat Marina",11,0,3,0,1,0,1,0,0,1,0,0,1,3,1,3,28,1,0,0,0,0,5,19,0,0,0,728
"Godfrey Point",0,0,2,0,0,0,0,0,0,0,0,0,1,0,11,3,0,4,0,1,11,0,0,21,0,0,0,0
"Godfrey Point",0,0,1,0,0,0,0,31,0,0,0,1,0,1,1,3,20,1,1,0,3,0,0,6,0,1,0,527
"Jewell",0,0,3,0,0,0,0,0,2,3,0,0,0,0,3,0,2,4,0,1,1,0,0,18,0,0,0,0
"Jewell",0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,4,132,1,0,0,1,0,1,2,0,0,0,48
"North Bay",0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,1,3,0,0,24,0,0,0,1
"North Bay",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,122,1,0,0,0,0,0,1,0,1,0,136
"Cleveland",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,19,0,0,0,0
"Cleveland",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,78,2,0,0,0,0,0,1,0,0,0,54
"Constantia",0,3,1,0,0,0,0,0,0,35,0,0,0,0,2,4,2,0,0,0,8,0,0,22,0,0,0,0
"Constantia",0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,13,48,2,0,0,1,0,0,77,0,0,0,229
"Taft Bay",0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,2,1,0,4,0,0,0,0
"Taft Bay",0,0,0,0,1,0,0,0,0,0,0,1,1,6,0,1,24,5,4,0,1,0,1,21,0,2,0,102
"Big Bay",0,0,15,1,12,0,1,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,8,10,0,0,1,0
"Big Bay",0,1,3,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,2
"Poddygut Bay",0,4,35,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,3,4,0,0,0,0
"Poddygut Bay",0,2,19,0,0,0,0,0,0,0,0,0,4,0,9,1,0,0,0,1,0,0,1,5,0,0,3,20
"Three Mile Bay",0,8,9,0,0,0,0,0,0,0,0,0,5,0,39,12,0,0,0,0,0,1,6,14,0,0,0,0
"Three Mile Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beach Road",0,5,37,0,0,0,0,0,3,0,0,0,2,0,28,4,0,4,0,0,1,0,0,54,0,0,0,0
"Beach Road",0,6,0,1,0,0,0,0,2,0,0,0,4,0,0,2,3,2,0,0,0,0,1,3,0,0,0,7
"Lower South Bay",0,3,22,1,0,0,0,0,0,2,0,0,0,0,23,2,0,0,0,1,0,0,0,5,0,0,0,1
"Lower South Bay",25,3,0,1,0,0,0,0,0,1,2,0,3,0,5,4,3,0,0,0,0,0,1,12,0,0,0,129
"Maple bay",0,5,34,1,0,0,0,0,0,1,0,0,6,0,25,0,0,1,0,2,0,0,0,22,0,0,0,1
"Maple bay",7,2,2,0,0,0,0,0,0,1,0,5,10,0,3,3,2,0,0,0,0,0,0,20,0,0,0,46
"Dutchman Island",0,0,2,0,1,0,0,0,1,0,0,0,0,0,25,4,1,3,0,0,1,1,2,25,0,0,0,0
"Dutchman Island",46,0,15,0,0,0,0,1,0,1,0,2,0,0,4,3,0,1,0,0,0,0,0,2,0,2,0,212
"Fisher Bay",0,13,22,1,1,0,0,0,1,0,0,0,0,0,12,3,0,0,0,1,3,0,0,17,0,0,0,0
"Fisher Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shackelton Point Swimming area",0,0,3,0,0,0,0,0,0,1,0,0,1,0,3,1,1,9,0,0,40,1,0,37,0,0,0,0
"Shackelton Point Swimming area",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,1,0,0,0,0,0,2
