"Site","walleye","yellow.perch","brown.bullhead","channel.catfish","freshwater.drum","American.gizzard.shad","pumpkinseed","rock.bass","greater.redhorse","smallmouth.bass","lake.sturgeon","white.perch","white.sucker","chain.pickerel","round.goby"
"Phillips Point",32,19,0,0,0,0,1,0,0,1,0,2,1,0,0
"Dakin Shoal",5,12,0,0,0,0,0,0,0,0,0,93,2,0,0
"Shackelton Point",14,77,0,0,1,0,0,0,0,0,0,1,0,0,0
"Buoy 125",55,3,0,0,0,1,0,0,0,4,0,66,1,0,0
"Damon Point",42,80,0,0,0,1,0,1,0,0,0,0,4,0,0
"Dutchman Island",50,42,0,0,0,0,0,0,0,3,0,0,0,0,0
"Buoy 129",26,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buoy 113",41,50,0,0,1,3,0,0,1,5,0,10,6,0,0
"Cleveland",56,51,0,1,2,1,1,1,2,5,1,11,6,1,0
"Jewel",28,48,1,0,1,0,0,0,0,2,1,44,3,0,0
"Buoy 133",8,12,1,0,0,5,0,0,0,0,0,1,0,0,0
"Lewis Point",12,16,0,3,2,0,0,0,0,2,0,4,3,0,0
"Dunham Island",13,2,0,0,0,3,0,0,0,0,0,1,0,0,0
"Willard Island",18,8,0,0,0,0,0,0,0,0,0,6,1,0,0
"Bushnell Point",77,28,0,1,0,0,0,0,0,2,1,11,0,0,1
